Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C2, C3, C4, C5, C6, C7, C8, C9",1206,12,100n,
D1,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
D2,D_SOD-523,1,1N4148WT,
I2C1,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Conn_01x03,
"J1, J3",IDC-Header_2x13_P2.54mm_Vertical,2,Conn_02x13_Odd_Even,
"J2, J4, J5, J6",PinHeader_1x03_P2.54mm_Vertical,4,Conn_01x03,
"MODBUS1, WLED1",JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,2,Conn_01x03,
PWR_5V1,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x03,
"R1, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R3, R30, R31, R32, R33, R34, R35, R4, R5, R6, R7, R8, R9",1206,34,10k,
R2,1206,1,120,
U1,Tang_Nano_9k,1,Tang_Nano_9k,
U2,WIZ850io,1,WIZ850io,
"U3, U4, U5, U6, U7",TSSOP-20_4.4x6.5mm_P0.65mm,5,TXS0108EPW,
U8,Diodes_SO-8EP,1,MAX485E,
