Designator,Mid X,Mid Y,Rotation,Layer
C1,105.537,-102.108,0.0,top
C10,146.001,-59.944,0.0,top
C11,141.273,-75.692,180.0,top
C12,146.304,-75.692,0.0,top
C2,98.044,-94.996,0.0,top
C3,108.458,-92.71,0.0,top
C4,103.378,-92.71,180.0,top
C5,106.983,-75.692,0.0,top
C6,101.903,-75.692,180.0,top
C7,106.983,-60.452,0.0,top
C8,101.903,-60.452,180.0,top
C9,141.019,-59.944,180.0,top
D1,97.918,-89.826,90.0,top
D2,142.3,-64.0,0.0,top
I2C1,91.694,-107.636,270.0,top
J1,155.067,-65.024,0.0,top
J2,144.78,-80.772,90.0,top
J3,94.234,-65.024,180.0,top
J4,104.902,-80.772,270.0,top
J5,105.029,-45.847,270.0,top
J6,144.541,-46.228,90.0,top
MODBUS1,99.314,-108.926,270.0,top
PWR_5V1,107.168,-110.49,0.0,top
R1,118.3025,-46.101,0.0,top
R10,118.3025,-66.421,0.0,top
R11,118.3025,-68.961,0.0,top
R12,118.3025,-71.501,0.0,top
R13,118.3025,-74.041,0.0,top
R14,118.3025,-76.581,0.0,top
R15,118.3025,-79.121,0.0,top
R16,118.3025,-81.661,0.0,top
R17,118.2985,-84.201,0.0,top
R18,118.2985,-86.741,0.0,top
R19,118.3025,-89.281,0.0,top
R2,101.346,-98.8675,270.0,top
R20,131.2565,-46.264,180.0,top
R21,131.2565,-48.768,180.0,top
R22,131.2565,-51.308,180.0,top
R23,131.2565,-53.848,180.0,top
R24,131.2565,-56.388,180.0,top
R25,131.2565,-58.928,180.0,top
R26,131.2565,-61.468,180.0,top
R27,131.2565,-64.008,180.0,top
R28,131.2565,-66.584,180.0,top
R29,131.2565,-69.088,180.0,top
R3,118.3025,-48.641,0.0,top
R30,131.2565,-71.628,180.0,top
R31,131.2565,-74.168,180.0,top
R32,131.2565,-76.835,180.0,top
R33,131.2565,-79.375,180.0,top
R34,131.2565,-81.915,180.0,top
R35,131.2565,-84.455,180.0,top
R4,118.3025,-51.181,0.0,top
R5,118.3025,-53.721,0.0,top
R6,118.3025,-56.261,0.0,top
R7,118.2985,-58.801,0.0,top
R8,118.2985,-61.341,0.0,top
R9,118.3025,-63.881,0.0,top
U1,124.7598,-75.2856,0.0,top
U2,151.4602,-99.4722,180.0,top
U3,143.3165,-54.864,270.0,top
U4,143.3245,-70.612,270.0,top
U5,105.8575,-54.991,90.0,top
U6,105.6445,-70.287,90.0,top
U7,105.7325,-87.507,90.0,top
U8,106.7645,-98.044,180.0,top
WLED1,91.694,-91.654,270.0,top
